Symbol_Period,Initial_Open,Close,High,Low,Prev_Close,Volume,Label,Start_Date,End_Date
HINDALCO_2521-2610,270.55,222.7,284.0,217.7,270.05,753023214.0,Head and Shoulders,2017-10-30,2018-03-08
HINDALCO_2611-2700,224.7,219.5,267.8,200.0,222.7,979798287.0,Symmetrical Triangle,2018-03-09,2018-07-17
HINDALCO_2701-2790,220.9,226.2,259.75,192.35,219.5,1012969228.0,Double Top,2018-07-18,2018-11-30
HINDALCO_2881-2970,211.0,180.25,217.9,171.6,211.7,625979290.0,Descending Triangle,2019-04-11,2019-08-23
HINDALCO_2971-3060,182.05,208.85,221.2,171.1,180.25,704335851.0,Head and Shoulders,2019-08-26,2020-01-07
HINDALCO_3061-3150,206.0,120.8,215.0,84.9,208.85,1158306781.0,Descending Triangle,2020-01-08,2020-05-20
HINDALCO_3151-3240,121.4,159.1,203.15,120.65,120.8,1559895936.0,Triple Bottom Reversal,2020-05-21,2020-09-24
HINDUNILVR_1-90,199.0,206.8,229.9,190.0,199.0,242473247.0,Symmetrical Triangle,2007-07-19,2007-11-23
HINDUNILVR_91-180,207.9,241.85,248.9,169.0,206.8,198014604.0,Head and Shoulders,2007-11-26,2008-04-04
HINDUNILVR_271-360,239.95,250.3,267.8,185.1,239.65,362626595.0,Double Top,2008-08-18,2008-12-31
HINDUNILVR_451-540,231.0,259.5,306.7,228.1,230.4,347411815.0,Triple Bottom Reversal,2009-05-22,2009-09-25
HINDUNILVR_541-630,256.2,232.6,295.9,227.0,259.5,239297815.0,Descending Triangle,2009-09-29,2010-02-09
HINDUNILVR_631-720,233.5,261.75,265.45,218.0,232.6,232984123.0,Head and Shoulders,2010-02-10,2010-06-22
HINDUNILVR_1081-1170,387.8,404.5,420.25,374.35,388.2,208966894.0,Descending Triangle,2011-11-30,2012-04-09
HINDUNILVR_1261-1350,492.0,523.4,580.45,444.45,490.3,188447015.0,Descending Triangle,2012-08-14,2012-12-26
HINDUNILVR_1351-1440,525.0,587.0,597.0,432.15,523.4,260713484.0,Ascending Triangle,2012-12-27,2013-05-08
HINDUNILVR_1441-1530,588.0,621.75,725.0,578.95,587.0,253594118.0,Cup and Handle,2013-05-09,2013-09-13
HINDUNILVR_1711-1800,637.0,749.75,771.9,610.8,639.95,88446570.0,Symmetrical Triangle,2014-06-09,2014-10-21
HINDUNILVR_1981-2070,927.0,811.95,941.95,769.0,927.3,125549851.0,Triple Bottom Reversal,2015-07-15,2015-11-24
